SANTANDER - DITL;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Tax (IOF);;;;;USD;BRL;AC;VC;;;;;;;;;;;;;;;;;
31/10/25 sex;0,00%; 5,38 ;1.344.908,09 ; 256,19 ; 28.263,86 ; 1.345.164,28 ; 28.459,11 ; 6.473.788,55 ; 7.235.100,59 ; 761.312,03 ; 108,14 ; 9.486,37 ; -   ; -   ;;;;;;;;;;;;;;
01/11/25 sáb;0,00%; 5,38 ;1.345.164,28 ; 256,24 ; 28.520,10 ; 1.345.420,52 ; 29.838,78 ; 6.475.168,22 ; 7.244.147,69 ; 768.979,47 ; 113,39 ; 9.946,26 ; -   ; -   ;;;;;;;;;;;;;;
02/11/25 dom;0,00%; 5,38 ;1.345.420,52 ; 256,29 ; 28.776,39 ; 1.345.676,81 ; 31.218,71 ; 6.476.548,15 ; 7.245.527,62 ; 768.979,47 ; 118,63 ; 10.406,24 ; -   ; -   ;;;;;;;;;;;;;;
03/11/25 seg;0,00%; 5,35 ;1.345.676,81 ; 256,34 ; 29.032,73 ; 1.345.933,14 ; 32.590,24 ; 6.477.919,68 ; 7.201.415,27 ; 723.495,60 ; 123,84 ; 10.863,41 ; -   ; -   ;;;;;;;;;;;;;;
04/11/25 ter;0,00%; 5,38 ;1.345.933,14 ; 256,39 ; 29.289,11 ; 1.346.189,53 ; 33.970,77 ; 6.479.300,21 ; 7.248.692,13 ; 769.391,92 ; 129,09 ; 11.323,59 ; -   ; -   ;;;;;;;;;;;;;;
05/11/25 qua;0,00%; 5,38 ;1.346.189,53 ; 256,43 ; 29.545,55 ; 1.346.445,96 ; 35.350,33 ; 6.480.679,77 ; 7.243.609,98 ; 762.930,21 ; 134,33 ; 11.783,44 ; -   ; -   ;;;;;;;;;;;;;;
06/11/25 qui;0,00%; 5,38 ;1.346.445,96 ; 256,48 ; 29.802,03 ; 1.346.702,44 ; 36.730,16 ; 6.482.059,60 ; 7.244.989,81 ; 762.930,21 ; 139,57 ; 12.243,39 ; -   ; -   ;;;;;;;;;;;;;;
07/11/25 sex;0,00%; 5,38 ;1.346.702,44 ; 256,53 ; 30.058,56 ; 1.346.958,98 ; 38.110,25 ; 6.483.439,69 ; 7.246.369,90 ; 762.930,21 ; 144,82 ; 12.703,42 ; -   ; -   ;;;;;;;;;;;;;;
08/11/25 sáb;0,00%; 5,38 ;1.346.958,98 ; 256,58 ; 30.315,14 ; 1.347.215,56 ; 39.490,60 ; 6.484.820,04 ; 7.247.750,25 ; 762.930,21 ; 150,06 ; 13.163,53 ; -   ; -   ;;;;;;;;;;;;;;
09/11/25 dom;0,00%; 5,38 ;1.347.215,56 ; 256,63 ; 30.571,77 ; 1.347.472,19 ; 40.871,22 ; 6.486.200,66 ; 7.249.130,86 ; 762.930,21 ; 155,31 ; 13.623,74 ; -   ; -   ;;;;;;;;;;;;;;
10/11/25 seg;0,00%; 5,38 ;1.347.472,19 ; 256,68 ; 30.828,45 ; 1.347.728,86 ; 42.252,10 ; 6.487.581,54 ; 7.250.511,74 ; 762.930,21 ; 160,56 ; 14.084,03 ; -   ; -   ;;;;;;;;;;;;;;
11/11/25 ter;0,00%; 5,38 ;1.347.728,86 ; 256,73 ; 31.085,18 ; 1.347.985,59 ; 43.633,24 ; 6.488.962,68 ; 7.251.892,88 ; 762.930,21 ; 165,81 ; 14.544,41 ; -   ; -   ;;;;;;;;;;;;;;
12/11/25 qua;0,00%; 5,38 ;1.347.985,59 ; 256,78 ; 31.341,95 ; 1.348.242,37 ; 45.014,64 ; 6.490.344,08 ; 7.253.274,29 ; 762.930,21 ; 171,06 ; 15.004,88 ; -   ; -   ;;;;;;;;;;;;;;
13/11/25 qui;0,00%; 5,38 ;1.348.242,37 ; 256,83 ; 31.598,78 ; 1.348.499,19 ; 46.396,31 ; 6.491.725,75 ; 7.254.655,96 ; 762.930,21 ; 176,31 ; 15.465,44 ; -   ; -   ;;;;;;;;;;;;;;
14/11/25 sex;0,00%; 5,38 ;1.348.499,19 ; 256,87 ; 31.855,65 ; 1.348.756,07 ; 47.778,24 ; 6.493.107,68 ; 7.256.037,89 ; 762.930,21 ; 181,56 ; 15.926,08 ; -   ; -   ;;;;;;;;;;;;;;
15/11/25 sáb;0,00%; 5,38 ;1.348.756,07 ; 256,92 ; 32.112,57 ; 1.349.012,99 ; 49.160,43 ; 6.494.489,88 ; 7.257.420,08 ; 762.930,21 ; 186,81 ; 16.386,81 ; -   ; -   ;;;;;;;;;;;;;;
16/11/25 dom;0,00%; 5,38 ;1.349.012,99 ; 256,97 ; 32.369,55 ; 1.349.269,96 ; 50.542,89 ; 6.495.872,33 ; 7.258.802,54 ; 762.930,21 ; 192,06 ; 16.847,63 ; -   ; -   ;;;;;;;;;;;;;;
17/11/25 seg;0,00%; 5,38 ;1.349.269,96 ; 257,02 ; 32.626,57 ; 1.349.526,98 ; 51.925,61 ; 6.497.255,05 ; 7.260.185,26 ; 762.930,21 ; 197,32 ; 17.308,54 ; -   ; -   ;;;;;;;;;;;;;;
18/11/25 ter;0,00%; 5,38 ;1.349.526,98 ; 257,07 ; 32.883,64 ; 1.349.784,05 ; 53.308,60 ; 6.498.638,04 ; 7.261.568,24 ; 762.930,21 ; 202,57 ; 17.769,53 ; -   ; -   ;;;;;;;;;;;;;;
19/11/25 qua;0,00%; 5,38 ;1.349.784,05 ; 257,12 ; 33.140,76 ; 1.350.041,17 ; 54.691,84 ; 6.500.021,29 ; 7.262.951,49 ; 762.930,21 ; 207,83 ; 18.230,61 ; -   ; -   ;;;;;;;;;;;;;;
20/11/25 qui;0,00%; 5,38 ;1.350.041,17 ; 257,17 ; 33.397,92 ; 1.350.298,34 ; 56.075,36 ; 6.501.404,80 ; 7.264.335,00 ; 762.930,21 ; 213,09 ; 18.691,79 ; -   ; -   ;;;;;;;;;;;;;;
21/11/25 sex;0,00%; 5,38 ;1.350.298,34 ; 257,22 ; 33.655,14 ; 1.350.555,56 ; 57.459,13 ; 6.502.788,57 ; 7.265.718,78 ; 762.930,21 ; 218,34 ; 19.153,04 ; -   ; -   ;;;;;;;;;;;;;;
22/11/25 sáb;0,00%; 5,38 ;1.350.555,56 ; 257,27 ; 33.912,41 ; 1.350.812,82 ; 58.843,17 ; 6.504.172,61 ; 7.267.102,82 ; 762.930,21 ; 223,60 ; 19.614,39 ; -   ; -   ;;;;;;;;;;;;;;
23/11/25 dom;0,00%; 5,38 ;1.350.812,82 ; 257,31 ; 34.169,72 ; 1.351.070,14 ; 60.227,47 ; 6.505.556,91 ; 7.268.487,12 ; 762.930,21 ; 228,86 ; 20.075,82 ; -   ; -   ;;;;;;;;;;;;;;
24/11/25 seg;0,00%; 5,38 ;1.351.070,14 ; 257,36 ; 34.427,08 ; 1.351.327,50 ; 61.612,04 ; 6.506.941,48 ; 7.269.871,68 ; 762.930,21 ; 234,13 ; 20.537,35 ; -   ; -   ;;;;;;;;;;;;;;
25/11/25 ter;0,00%; 5,38 ;1.351.327,50 ; 257,41 ; 34.684,50 ; 1.351.584,91 ; 62.996,87 ; 6.508.326,31 ; 7.271.256,51 ; 762.930,21 ; 239,39 ; 20.998,96 ; -   ; -   ;;;;;;;;;;;;;;
26/11/25 qua;0,00%; 5,38 ;1.351.584,91 ; 257,46 ; 34.941,96 ; 1.351.842,37 ; 64.381,96 ; 6.509.711,40 ; 7.272.641,61 ; 762.930,21 ; 244,65 ; 21.460,65 ; -   ; -   ;;;;;;;;;;;;;;
27/11/25 qui;0,00%; 5,38 ;1.351.842,37 ; 257,51 ; 35.199,47 ; 1.352.099,89 ; 65.767,32 ; 6.511.096,76 ; 7.274.026,96 ; 762.930,21 ; 249,92 ; 21.922,44 ; -   ; -   ;;;;;;;;;;;;;;
28/11/25 sex;0,00%; 5,38 ;1.352.099,89 ; 257,56 ; 35.457,03 ; 1.352.357,45 ; 67.152,94 ; 6.512.482,38 ; 7.275.412,58 ; 762.930,21 ; 255,18 ; 22.384,31 ; -   ; -   ;;;;;;;;;;;;;;
29/11/25 sáb;0,00%; 5,38 ;1.352.357,45 ; 257,61 ; 35.714,64 ; 1.352.615,05 ; 68.538,82 ; 6.513.868,26 ; 7.276.798,47 ; 762.930,21 ; 260,45 ; 22.846,27 ; -   ; -   ;;;;;;;;;;;;;;
30/11/25 dom;0,00%; 5,38 ;1.352.615,05 ; 257,66 ; 35.972,30 ; 1.352.872,71 ; 69.924,97 ; 6.515.254,41 ; 7.278.184,62 ; 762.930,21 ; 265,71 ; 23.308,32 ; -   ; -   ;;;;;;;;;;;;;;
01/12/25 seg;0,00%; 5,38 ;1.352.872,71 ; 257,71 ; 36.230,00 ; 1.353.130,42 ; 71.311,38 ; 6.516.640,82 ; 7.279.571,03 ; 762.930,21 ; 270,98 ; 23.770,46 ; -   ; -   ;;;;;;;;;;;;;;
02/12/25 ter;0,00%; 5,38 ;1.353.130,42 ; 257,76 ; 36.487,76 ; 1.353.388,18 ; 72.698,06 ; 6.518.027,50 ; 7.280.957,71 ; 762.930,21 ; 276,25 ; 24.232,69 ; -   ; -   ;;;;;;;;;;;;;;
03/12/25 qua;0,00%; 5,38 ;1.353.388,18 ; 257,81 ; 36.745,57 ; 1.353.645,98 ; 74.085,00 ; 6.519.414,44 ; 7.282.344,65 ; 762.930,21 ; 281,52 ; 24.695,00 ; -   ; -   ;;;;;;;;;;;;;;
04/12/25 qui;0,00%; 5,38 ;1.353.645,98 ; 257,85 ; 37.003,42 ; 1.353.903,84 ; 75.472,21 ; 6.520.801,65 ; 7.283.731,85 ; 762.930,21 ; 286,79 ; 25.157,40 ; -   ; -   ;;;;;;;;;;;;;;
05/12/25 sex;0,00%; 5,38 ;1.353.903,84 ; 257,90 ; 37.261,32 ; 1.354.161,74 ; 76.859,68 ; 6.522.189,12 ; 7.285.119,32 ; 762.930,21 ; 292,07 ; 25.619,89 ; -   ; -   ;;;;;;;;;;;;;;
06/12/25 sáb;0,00%; 5,38 ;1.354.161,74 ; 257,95 ; 37.519,28 ; 1.354.419,69 ; 78.247,41 ; 6.523.576,85 ; 7.286.507,06 ; 762.930,21 ; 297,34 ; 26.082,47 ; -   ; -   ;;;;;;;;;;;;;;
07/12/25 dom;0,00%; 5,38 ;1.354.419,69 ; 258,00 ; 37.777,28 ; 1.354.677,69 ; 79.635,41 ; 6.524.964,85 ; 7.287.895,06 ; 762.930,21 ; 302,61 ; 26.545,14 ; -   ; -   ;;;;;;;;;;;;;;
08/12/25 seg;0,00%; 5,38 ;1.354.677,69 ; 258,05 ; 38.035,33 ; 1.354.935,74 ; 81.023,67 ; 6.526.353,11 ; 7.289.283,32 ; 762.930,21 ; 307,89 ; 27.007,89 ; -   ; -   ;;;;;;;;;;;;;;
09/12/25 ter;0,00%; 5,38 ;1.354.935,74 ; 258,10 ; 38.293,43 ; 1.355.193,84 ; 82.412,20 ; 6.527.741,64 ; 7.290.671,84 ; 762.930,21 ; 313,17 ; 27.470,73 ; -   ; -   ;;;;;;;;;;;;;;
10/12/25 qua;0,00%; 5,38 ;1.355.193,84 ; 258,15 ; 38.551,58 ; 1.355.451,99 ; 83.800,99 ; 6.529.130,43 ; 7.292.060,64 ; 762.930,21 ; 318,44 ; 27.933,66 ; -   ; -   ;;;;;;;;;;;;;;
11/12/25 qui;0,00%; 5,38 ;1.355.451,99 ; 258,20 ; 38.809,78 ; 1.355.710,19 ; 85.190,05 ; 6.530.519,49 ; 7.293.449,69 ; 762.930,21 ; 323,72 ; 28.396,68 ; -   ; -   ;;;;;;;;;;;;;;
12/12/25 sex;0,00%; 5,38 ;1.355.710,19 ; 258,25 ; 39.068,02 ; 1.355.968,44 ; 86.579,37 ; 6.531.908,81 ; 7.294.839,01 ; 762.930,21 ; 329,00 ; 28.859,79 ; -   ; -   ;;;;;;;;;;;;;;
13/12/25 sáb;0,00%; 5,38 ;1.355.968,44 ; 258,30 ; 39.326,32 ; 1.356.226,74 ; 87.968,95 ; 6.533.298,39 ; 7.296.228,60 ; 762.930,21 ; 334,28 ; 29.322,98 ; -   ; -   ;;;;;;;;;;;;;;
14/12/25 dom;0,00%; 5,38 ;1.356.226,74 ; 258,35 ; 39.584,67 ; 1.356.485,08 ; 89.358,80 ; 6.534.688,24 ; 7.297.618,45 ; 762.930,21 ; 339,56 ; 29.786,27 ; -   ; -   ;;;;;;;;;;;;;;
15/12/25 seg;0,00%; 5,38 ;1.356.485,08 ; 258,40 ; 39.843,06 ; 1.356.743,48 ; 90.748,92 ; 6.536.078,36 ; 7.299.008,56 ; 762.930,21 ; 344,85 ; 30.249,64 ; -   ; -   ;;;;;;;;;;;;;;
16/12/25 ter;0,00%; 5,38 ;1.356.743,48 ; 258,44 ; 40.101,51 ; 1.357.001,92 ; 92.139,30 ; 6.537.468,74 ; 7.300.398,94 ; 762.930,21 ; 350,13 ; 30.713,10 ; -   ; -   ;;;;;;;;;;;;;;
17/12/25 qua;0,00%; 5,38 ;1.357.001,92 ; 258,49 ; 40.360,00 ; 1.357.260,42 ; 93.529,94 ; 6.538.859,38 ; 7.301.789,59 ; 762.930,21 ; 355,41 ; 31.176,65 ; -   ; -   ;;;;;;;;;;;;;;
18/12/25 qui;0,00%; 5,38 ;1.357.260,42 ; 258,54 ; 40.618,54 ; 1.357.518,96 ; 94.920,85 ; 6.540.250,29 ; 7.303.180,50 ; 762.930,21 ; 360,70 ; 31.640,28 ; -   ; -   ;;;;;;;;;;;;;;
19/12/25 sex;0,00%; 5,38 ;1.357.518,96 ; 258,59 ; 40.877,14 ; 1.357.777,55 ; 96.312,02 ; 6.541.641,47 ; 7.304.571,67 ; 762.930,21 ; 365,99 ; 32.104,01 ; -   ; -   ;;;;;;;;;;;;;;
20/12/25 sáb;0,00%; 5,38 ;1.357.777,55 ; 258,64 ; 41.135,78 ; 1.358.036,19 ; 97.703,46 ; 6.543.032,90 ; 7.305.963,11 ; 762.930,21 ; 371,27 ; 32.567,82 ; -   ; -   ;;;;;;;;;;;;;;
21/12/25 dom;0,00%; 5,38 ;1.358.036,19 ; 258,69 ; 41.394,47 ; 1.358.294,88 ; 99.095,17 ; 6.544.424,61 ; 7.307.354,81 ; 762.930,21 ; 376,56 ; 33.031,72 ; -   ; -   ;;;;;;;;;;;;;;
22/12/25 seg;0,00%; 5,38 ;1.358.294,88 ; 258,74 ; 41.653,21 ; 1.358.553,62 ; 100.487,14 ; 6.545.816,58 ; 7.308.746,78 ; 762.930,21 ; 381,85 ; 33.495,71 ; -   ; -   ;;;;;;;;;;;;;;
23/12/25 ter;0,00%; 5,38 ;1.358.553,62 ; 258,79 ; 41.912,00 ; 1.358.812,41 ; 101.879,37 ; 6.547.208,81 ; 7.310.139,02 ; 762.930,21 ; 387,14 ; 33.959,79 ; -   ; -   ;;;;;;;;;;;;;;
24/12/25 qua;0,00%; 5,38 ;1.358.812,41 ; 258,84 ; 42.170,84 ; 1.359.071,25 ; 103.271,87 ; 6.548.601,31 ; 7.311.531,52 ; 762.930,21 ; 392,43 ; 34.423,96 ; -   ; -   ;;;;;;;;;;;;;;
25/12/25 qui;0,00%; 5,38 ;1.359.071,25 ; 258,89 ; 42.429,72 ; 1.359.330,14 ; 104.664,64 ; 6.549.994,08 ; 7.312.924,28 ; 762.930,21 ; 397,73 ; 34.888,21 ; -   ; -   ;;;;;;;;;;;;;;
26/12/25 sex;0,00%; 5,38 ;1.359.330,14 ; 258,94 ; 42.688,66 ; 1.359.589,08 ; 106.057,67 ; 6.551.387,11 ; 7.314.317,31 ; 762.930,21 ; 403,02 ; 35.352,56 ; -   ; -   ;;;;;;;;;;;;;;
27/12/25 sáb;0,00%; 5,38 ;1.359.589,08 ; 258,99 ; 42.947,65 ; 1.359.848,06 ; 107.450,96 ; 6.552.780,40 ; 7.315.710,61 ; 762.930,21 ; 408,31 ; 35.816,99 ; -   ; -   ;;;;;;;;;;;;;;
28/12/25 dom;0,00%; 5,38 ;1.359.848,06 ; 259,04 ; 43.206,68 ; 1.360.107,10 ; 108.844,52 ; 6.554.173,97 ; 7.317.104,17 ; 762.930,21 ; 413,61 ; 36.281,51 ; -   ; -   ;;;;;;;;;;;;;;
29/12/25 seg;0,00%; 5,38 ;1.360.107,10 ; 259,09 ; 43.465,77 ; 1.360.366,18 ; 110.238,35 ; 6.555.567,79 ; 7.318.498,00 ; 762.930,21 ; 418,91 ; 36.746,12 ; -   ; -   ;;;;;;;;;;;;;;
30/12/25 ter;0,00%; 5,38 ;1.360.366,18 ; 259,13 ; 43.724,90 ; 1.360.625,32 ; 111.632,44 ; 6.556.961,88 ; 7.319.892,09 ; 762.930,21 ; 424,20 ; 37.210,81 ; -   ; -   ;;;;;;;;;;;;;;
31/12/25 qua;0,00%; 5,38 ;1.360.625,32 ; 259,18 ; 43.984,09 ; 1.360.884,50 ; 113.026,80 ; 6.558.356,24 ; 7.321.286,45 ; 762.930,21 ; 429,50 ; 37.675,60 ; -   ; -   ;;;;;;;;;;;;;;
01/01/26 qui;0,00%; 5,38 ;1.360.884,50 ; 259,23 ; 44.243,32 ; 1.361.143,74 ; 114.421,42 ; 6.559.750,87 ; 7.322.681,07 ; 762.930,21 ; 434,80 ; 38.140,47 ; -   ; -   ;;;;;;;;;;;;;;
02/01/26 sex;0,00%; 5,38 ;1.361.143,74 ; 259,28 ; 44.502,60 ; 1.361.403,02 ; 115.816,31 ; 6.561.145,75 ; 7.324.075,96 ; 762.930,21 ; 440,10 ; 38.605,44 ; -   ; -   ;;;;;;;;;;;;;;
03/01/26 sáb;0,00%; 5,38 ;1.361.403,02 ; 259,33 ; 44.761,94 ; 1.361.662,35 ; 117.211,47 ; 6.562.540,91 ; 7.325.471,11 ; 762.930,21 ; 445,40 ; 39.070,49 ; -   ; -   ;;;;;;;;;;;;;;
04/01/26 dom;0,00%; 5,38 ;1.361.662,35 ; 259,38 ; 45.021,32 ; 1.361.921,73 ; 118.606,89 ; 6.563.936,33 ; 7.326.866,53 ; 762.930,21 ; 450,71 ; 39.535,63 ; -   ; -   ;;;;;;;;;;;;;;
05/01/26 seg;0,00%; 5,38 ;1.361.921,73 ; 259,43 ; 45.280,75 ; 1.362.181,16 ; 120.002,57 ; 6.565.332,02 ; 7.328.262,22 ; 762.930,21 ; 456,01 ; 40.000,86 ; -   ; -   ;;;;;;;;;;;;;;
06/01/26 ter;0,00%; 5,38 ;1.362.181,16 ; 259,48 ; 45.540,23 ; 1.362.440,64 ; 121.398,53 ; 6.566.727,97 ; 7.329.658,17 ; 762.930,21 ; 461,31 ; 40.466,18 ; -   ; -   ;;;;;;;;;;;;;;
07/01/26 qua;0,00%; 5,38 ;1.362.440,64 ; 259,53 ; 45.799,76 ; 1.362.700,17 ; 122.794,74 ; 6.568.124,19 ; 7.331.054,39 ; 762.930,21 ; 466,62 ; 40.931,58 ; -   ; -   ;;;;;;;;;;;;;;
08/01/26 qui;0,00%; 5,38 ;1.362.700,17 ; 259,58 ; 46.059,34 ; 1.362.959,75 ; 124.191,23 ; 6.569.520,67 ; 7.332.450,88 ; 762.930,21 ; 471,93 ; 41.397,08 ; -   ; -   ;;;;;;;;;;;;;;
09/01/26 sex;0,00%; 5,38 ;1.362.959,75 ; 259,63 ; 46.318,97 ; 1.363.219,38 ; 125.587,98 ; 6.570.917,42 ; 7.333.847,63 ; 762.930,21 ; 477,23 ; 41.862,66 ; -   ; -   ;;;;;;;;;;;;;;
10/01/26 sáb;0,00%; 5,38 ;1.363.219,38 ; 259,68 ; 46.578,64 ; 1.363.479,06 ; 126.984,99 ; 6.572.314,44 ; 7.335.244,64 ; 762.930,21 ; 482,54 ; 42.328,33 ; -   ; -   ;;;;;;;;;;;;;;
11/01/26 dom;0,00%; 5,38 ;1.363.479,06 ; 259,73 ; 46.838,37 ; 1.363.738,79 ; 128.382,28 ; 6.573.711,72 ; 7.336.641,92 ; 762.930,21 ; 487,85 ; 42.794,09 ; -   ; -   ;;;;;;;;;;;;;;
12/01/26 seg;0,00%; 5,38 ;1.363.738,79 ; 259,78 ; 47.098,15 ; 1.363.998,56 ; 129.779,82 ; 6.575.109,27 ; 7.338.039,47 ; 762.930,21 ; 493,16 ; 43.259,94 ; -   ; -   ;;;;;;;;;;;;;;
13/01/26 ter;0,00%; 5,38 ;1.363.998,56 ; 259,83 ; 47.357,97 ; 1.364.258,39 ; 131.177,64 ; 6.576.507,08 ; 7.339.437,29 ; 762.930,21 ; 498,48 ; 43.725,88 ; -   ; -   ;;;;;;;;;;;;;;
14/01/26 qua;0,00%; 5,38 ;1.364.258,39 ; 259,88 ; 47.617,85 ; 1.364.518,27 ; 132.575,72 ; 6.577.905,16 ; 7.340.835,37 ; 762.930,21 ; 503,79 ; 44.191,91 ; -   ; -   ;;;;;;;;;;;;;;
15/01/26 qui;0,00%; 5,38 ;1.364.518,27 ; 259,93 ; 47.877,78 ; 1.364.778,19 ; 133.974,07 ; 6.579.303,51 ; 7.342.233,71 ; 762.930,21 ; 509,10 ; 44.658,02 ; -   ; -   ;;;;;;;;;;;;;;
16/01/26 sex;0,00%; 5,38 ;1.364.778,19 ; 259,98 ; 48.137,75 ; 1.365.038,17 ; 135.372,68 ; 6.580.702,12 ; 7.343.632,33 ; 762.930,21 ; 514,42 ; 45.124,23 ; -   ; -   ;;;;;;;;;;;;;;
17/01/26 sáb;0,00%; 5,38 ;1.365.038,17 ; 260,02 ; 48.397,78 ; 1.365.298,19 ; 136.771,56 ; 6.582.101,00 ; 7.345.031,21 ; 762.930,21 ; 519,73 ; 45.590,52 ; -   ; -   ;;;;;;;;;;;;;;
18/01/26 dom;0,00%; 5,38 ;1.365.298,19 ; 260,07 ; 48.657,85 ; 1.365.558,27 ; 138.170,71 ; 6.583.500,15 ; 7.346.430,35 ; 762.930,21 ; 525,05 ; 46.056,90 ; -   ; -   ;;;;;;;;;;;;;;
19/01/26 seg;0,00%; 5,38 ;1.365.558,27 ; 260,12 ; 48.917,97 ; 1.365.818,39 ; 139.570,12 ; 6.584.899,56 ; 7.347.829,77 ; 762.930,21 ; 530,37 ; 46.523,37 ; -   ; -   ;;;;;;;;;;;;;;
20/01/26 ter;0,00%; 5,38 ;1.365.818,39 ; 260,17 ; 49.178,15 ; 1.366.078,56 ; 140.969,80 ; 6.586.299,24 ; 7.349.229,45 ; 762.930,21 ; 535,69 ; 46.989,93 ; -   ; -   ;;;;;;;;;;;;;;
21/01/26 qua;0,00%; 5,38 ;1.366.078,56 ; 260,22 ; 49.438,37 ; 1.366.338,78 ; 142.369,75 ; 6.587.699,19 ; 7.350.629,39 ; 762.930,21 ; 541,01 ; 47.456,58 ; -   ; -   ;;;;;;;;;;;;;;
22/01/26 qui;0,00%; 5,38 ;1.366.338,78 ; 260,27 ; 49.698,64 ; 1.366.599,06 ; 143.769,96 ; 6.589.099,40 ; 7.352.029,61 ; 762.930,21 ; 546,33 ; 47.923,32 ; -   ; -   ;;;;;;;;;;;;;;
23/01/26 sex;0,00%; 5,38 ;1.366.599,06 ; 260,32 ; 49.958,96 ; 1.366.859,38 ; 145.170,44 ; 6.590.499,88 ; 7.353.430,09 ; 762.930,21 ; 551,65 ; 48.390,15 ; -   ; -   ;;;;;;;;;;;;;;
24/01/26 sáb;0,00%; 5,38 ;1.366.859,38 ; 260,37 ; 50.219,33 ; 1.367.119,75 ; 146.571,18 ; 6.591.900,63 ; 7.354.830,83 ; 762.930,21 ; 556,97 ; 48.857,06 ; -   ; -   ;;;;;;;;;;;;;;
25/01/26 dom;0,00%; 5,38 ;1.367.119,75 ; 260,42 ; 50.479,76 ; 1.367.380,17 ; 147.972,20 ; 6.593.301,64 ; 7.356.231,84 ; 762.930,21 ; 562,29 ; 49.324,07 ; -   ; -   ;;;;;;;;;;;;;;
26/01/26 seg;0,00%; 5,38 ;1.367.380,17 ; 260,47 ; 50.740,23 ; 1.367.640,64 ; 149.373,48 ; 6.594.702,92 ; 7.357.633,12 ; 762.930,21 ; 567,62 ; 49.791,16 ; -   ; -   ;;;;;;;;;;;;;;
27/01/26 ter;0,00%; 5,38 ;1.367.640,64 ; 260,52 ; 51.000,75 ; 1.367.901,16 ; 150.775,02 ; 6.596.104,47 ; 7.359.034,67 ; 762.930,21 ; 572,95 ; 50.258,34 ; -   ; -   ;;;;;;;;;;;;;;
28/01/26 qua;0,00%; 5,38 ;1.367.901,16 ; 260,57 ; 51.261,32 ; 1.368.161,73 ; 152.176,84 ; 6.597.506,28 ; 7.360.436,49 ; 762.930,21 ; 578,27 ; 50.725,61 ; -   ; -   ;;;;;;;;;;;;;;
29/01/26 qui;0,00%; 5,38 ;1.368.161,73 ; 260,62 ; 51.521,94 ; 1.368.422,35 ; 153.578,92 ; 6.598.908,36 ; 7.361.838,57 ; 762.930,21 ; 583,60 ; 51.192,97 ; -   ; -   ;;;;;;;;;;;;;;
30/01/26 sex;0,00%; 5,38 ;1.368.422,35 ; 260,67 ; 51.782,61 ; 1.368.683,02 ; 154.981,27 ; 6.600.310,71 ; 7.363.240,91 ; 762.930,21 ; 588,93 ; 51.660,42 ; -   ; -   ;;;;;;;;;;;;;;
31/01/26 sáb;0,00%; 5,38 ;1.368.683,02 ; 260,72 ; 52.043,32 ; 1.368.943,74 ; 156.383,88 ; 6.601.713,32 ; 7.364.643,53 ; 762.930,21 ; 594,26 ; 52.127,96 ; -   ; -   ;;;;;;;;;;;;;;
01/02/26 dom;0,00%; 5,38 ;1.368.943,74 ; 260,77 ; 52.304,09 ; 1.369.204,51 ; 157.786,76 ; 6.603.116,21 ; 7.366.046,41 ; 762.930,21 ; 599,59 ; 52.595,59 ; -   ; -   ;;;;;;;;;;;;;;
02/02/26 seg;0,00%; 5,38 ;1.369.204,51 ; 260,82 ; 52.564,91 ; 1.369.465,33 ; 159.189,91 ; 6.604.519,36 ; 7.367.449,56 ; 762.930,21 ; 604,92 ; 53.063,30 ; -   ; -   ;;;;;;;;;;;;;;
03/02/26 ter;0,00%; 5,38 ;1.369.465,33 ; 260,87 ; 52.825,78 ; 1.369.726,19 ; 160.593,33 ; 6.605.922,77 ; 7.368.852,98 ; 762.930,21 ; 610,25 ; 53.531,11 ; -   ; -   ;;;;;;;;;;;;;;
04/02/26 qua;0,00%; 5,38 ;1.369.726,19 ; 260,92 ; 53.086,70 ; 1.369.987,11 ; 161.997,02 ; 6.607.326,46 ; 7.370.256,66 ; 762.930,21 ; 615,59 ; 53.999,01 ; -   ; -   ;;;;;;;;;;;;;;
05/02/26 qui;0,00%; 5,38 ;1.369.987,11 ; 260,97 ; 53.347,66 ; 1.370.248,08 ; 163.400,97 ; 6.608.730,41 ; 7.371.660,61 ; 762.930,21 ; 620,92 ; 54.466,99 ; -   ; -   ;;;;;;;;;;;;;;
06/02/26 sex;0,00%; 5,38 ;1.370.248,08 ; 261,02 ; 53.608,68 ; 1.370.509,10 ; 164.805,19 ; 6.610.134,63 ; 7.373.064,83 ; 762.930,21 ; 626,26 ; 54.935,06 ; -   ; -   ;;;;;;;;;;;;;;
07/02/26 sáb;0,00%; 5,38 ;1.370.509,10 ; 261,07 ; 53.869,75 ; 1.370.770,16 ; 166.209,67 ; 6.611.539,11 ; 7.374.469,32 ; 762.930,21 ; 631,60 ; 55.403,22 ; -   ; -   ;;;;;;;;;;;;;;
08/02/26 dom;0,00%; 5,38 ;1.370.770,16 ; 261,12 ; 54.130,86 ; 1.371.031,28 ; 167.614,43 ; 6.612.943,87 ; 7.375.874,07 ; 762.930,21 ; 636,93 ; 55.871,48 ; -   ; -   ;;;;;;;;;;;;;;
09/02/26 seg;0,00%; 5,38 ;1.371.031,28 ; 261,17 ; 54.392,03 ; 1.371.292,44 ; 169.019,45 ; 6.614.348,89 ; 7.377.279,10 ; 762.930,21 ; 642,27 ; 56.339,82 ; -   ; -   ;;;;;;;;;;;;;;
